Borough,Rental,Homeownership,Others,Total,Completion,Completion
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Manhattan,10,0,0,10,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Manhattan,317,0,0,317,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,22,0,0,22,Yes,1 
Manhattan,24,0,0,24,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Manhattan,10,0,0,10,Yes,1 
Manhattan,17,0,0,17,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
