Borough,Reporting Construction Type,All Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Counted Rental Units,Counted Homeownership Units,Total Units
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,0,26,0,0,26,0,26
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,27,0,0,0,27,0,27
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,41,0,0,0,41,0,41
Bronx,Preservation,160,0,0,0,160,0,160
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,17,0,0,0,17,0,17
Bronx,Preservation,27,0,0,0,27,0,27
Bronx,Preservation,43,0,0,1,44,0,44
Bronx,Preservation,90,0,0,1,91,0,91
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,0,0,0,0,0,0,15
Bronx,Preservation,0,0,0,0,0,0,18
Bronx,Preservation,24,0,0,0,24,0,24
Bronx,Preservation,26,0,0,0,26,0,26
Bronx,Preservation,27,0,0,0,27,0,27
Bronx,Preservation,38,0,0,0,38,0,38
Bronx,Preservation,0,0,0,0,0,0,40
Bronx,Preservation,0,0,0,0,0,0,44
Bronx,Preservation,44,0,0,0,44,0,44
Bronx,Preservation,0,0,0,0,0,0,54
Bronx,Preservation,83,0,0,1,84,0,84
Bronx,Preservation,536,0,0,0,536,0,536
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,Preservation,0,3,0,0,0,3,3
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,Preservation,31,0,0,0,31,0,31
Bronx,Preservation,35,0,0,1,36,0,36
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,Preservation,69,0,0,1,70,0,70
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,4,0,0,0,4,4
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,Preservation,0,2,0,0,0,2,2
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,69,0,0,0,69,0,69
Bronx,Preservation,91,0,0,0,91,0,91
Bronx,Preservation,91,0,0,0,91,0,91
Bronx,Preservation,0,2,0,0,0,2,2
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,0,0,1,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,11,0,0,0,11,0,11
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,0,1,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,23,0,0,1,24,0,24
Bronx,Preservation,25,0,0,0,25,0,25
Bronx,Preservation,25,0,0,0,25,0,25
Bronx,Preservation,42,0,0,1,43,0,43
Bronx,Preservation,62,0,0,1,63,0,63
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,38,0,0,1,39,0,39
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,8,0,0,1,9,0,9
Bronx,Preservation,7,0,4,0,11,0,11
Bronx,Preservation,13,0,7,0,20,0,20
Bronx,Preservation,39,0,9,0,48,0,48
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,4,0,3,1,8,0,8
Bronx,Preservation,4,0,4,0,8,0,8
Bronx,Preservation,9,0,0,1,10,0,10
Bronx,Preservation,11,0,3,0,14,0,14
Bronx,Preservation,13,0,3,0,16,0,16
Bronx,Preservation,16,0,4,0,20,0,20
Bronx,Preservation,16,0,4,0,20,0,20
Bronx,Preservation,18,0,0,0,18,0,18
Bronx,Preservation,23,0,0,0,23,0,23
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,2,0,0,0,0,2,2
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,3,0,0,0,3,0,14
Bronx,New Construction,25,0,0,0,25,0,25
Bronx,New Construction,24,0,0,1,25,0,25
Bronx,New Construction,6,0,0,0,6,0,27
Bronx,Preservation,0,2,0,0,0,2,2
Bronx,New Construction,28,0,0,0,28,0,28
Bronx,New Construction,30,0,0,0,30,0,30
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,7,0,0,0,7,0,33
Bronx,New Construction,7,0,0,0,7,0,34
Bronx,New Construction,32,4,0,1,37,0,37
Bronx,New Construction,38,0,0,0,38,0,38
Bronx,New Construction,8,0,0,0,8,0,38
Bronx,New Construction,8,0,0,0,8,0,39
Bronx,New Construction,8,0,0,0,8,0,40
Bronx,New Construction,40,0,0,1,41,0,41
Bronx,New Construction,10,0,0,0,10,0,41
Bronx,New Construction,9,0,0,0,9,0,41
Bronx,New Construction,41,0,0,1,42,0,42
Bronx,New Construction,9,0,0,0,9,0,44
Bronx,New Construction,16,28,0,1,45,0,45
Bronx,New Construction,44,0,0,1,45,0,45
Bronx,New Construction,48,0,0,0,48,0,48
Bronx,New Construction,43,5,0,1,49,0,49
Bronx,New Construction,46,5,0,1,52,0,52
Bronx,New Construction,27,25,0,1,53,0,53
Bronx,New Construction,11,0,0,0,11,0,53
Bronx,New Construction,11,0,0,0,11,0,55
Bronx,New Construction,26,31,0,0,57,0,57
Bronx,New Construction,57,0,0,0,57,0,57
Bronx,Preservation,31,0,0,0,31,0,31
Bronx,Preservation,54,0,0,0,54,0,54
Bronx,New Construction,58,0,0,1,59,0,59
Bronx,New Construction,59,0,0,1,60,0,60
Bronx,New Construction,59,0,0,1,60,0,60
Bronx,New Construction,12,0,0,0,12,0,60
Bronx,New Construction,62,0,0,1,63,0,63
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,68,0,0,1,69,0,69
Bronx,New Construction,18,54,0,1,73,0,73
Bronx,New Construction,74,0,0,1,75,0,75
Bronx,New Construction,80,0,0,0,80,0,80
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,New Construction,80,0,0,1,81,0,81
Bronx,New Construction,82,0,0,0,82,0,82
Bronx,New Construction,81,0,0,0,81,0,82
Bronx,New Construction,83,0,0,1,84,0,84
Bronx,New Construction,18,0,0,0,18,0,88
Bronx,New Construction,88,0,0,1,89,0,89
Bronx,New Construction,90,0,0,0,90,0,90
Bronx,New Construction,51,42,0,1,94,0,94
Bronx,New Construction,93,0,0,1,94,0,94
Bronx,New Construction,24,69,0,1,94,0,94
Bronx,New Construction,95,0,0,1,96,0,96
Bronx,New Construction,1,0,0,0,0,1,1
Bronx,Preservation,30,0,0,1,31,0,31
Bronx,New Construction,99,0,0,1,100,0,100
Bronx,New Construction,101,0,0,1,102,0,102
Bronx,New Construction,107,0,0,1,108,0,108
Bronx,New Construction,111,0,0,1,112,0,112
Bronx,New Construction,75,38,0,1,114,0,114
Bronx,New Construction,100,13,0,1,114,0,114
Bronx,New Construction,117,0,0,1,118,0,118
Bronx,New Construction,93,24,0,1,118,0,118
Bronx,New Construction,24,0,0,0,24,0,118
Bronx,New Construction,119,0,0,1,120,0,120
Bronx,New Construction,119,0,0,1,120,0,120
Bronx,Preservation,7,0,0,0,7,0,7
Bronx,New Construction,114,8,0,1,123,0,123
Bronx,New Construction,123,0,0,1,124,0,124
Bronx,New Construction,125,0,0,1,126,0,126
Bronx,New Construction,125,0,0,1,126,0,126
Bronx,New Construction,132,0,0,1,133,0,133
Bronx,New Construction,106,27,0,1,134,0,134
Bronx,New Construction,135,0,0,1,136,0,136
Bronx,Preservation,14,2,0,0,16,0,16
Bronx,New Construction,110,25,0,1,136,0,136
Bronx,Preservation,19,0,0,1,20,0,20
Bronx,New Construction,138,0,0,2,140,0,140
Bronx,Preservation,27,0,0,0,27,0,27
Bronx,Preservation,29,0,0,1,30,0,30
