startstation,endstation,count,totaltime
Columbus Ave & W 72 St,1 Ave & E 62 St,1 ,831
Columbus Ave & W 72 St,1 Ave & E 68 St,5 ,3604
Columbus Ave & W 72 St,1 Ave & E 94 St,4 ,4056
Columbus Ave & W 72 St,11 Ave & W 27 St,1 ,1445
Columbus Ave & W 72 St,11 Ave & W 59 St,3 ,1810
Columbus Ave & W 72 St,12 Ave & W 40 St,1 ,858
Columbus Ave & W 72 St,2 Ave & E 96 St,1 ,1018
Columbus Ave & W 72 St,3 Ave & E 62 St,1 ,826
Columbus Ave & W 72 St,3 Ave & E 72 St,2 ,2785
Columbus Ave & W 72 St,5 Ave & E 29 St,2 ,2506
Columbus Ave & W 72 St,5 Ave & E 63 St,1 ,710
Columbus Ave & W 72 St,5 Ave & E 73 St,5 ,2335
Columbus Ave & W 72 St,5 Ave & E 78 St,2 ,1010
Columbus Ave & W 72 St,5 Ave & E 88 St,2 ,3044
Columbus Ave & W 72 St,8 Ave & W 16 St,1 ,1400
Columbus Ave & W 72 St,8 Ave & W 33 St,2 ,1640
Columbus Ave & W 72 St,9 Ave & W 18 St,1 ,1955
Columbus Ave & W 72 St,9 Ave & W 45 St,3 ,1871
Columbus Ave & W 72 St,Amsterdam Ave & W 73 St,4 ,1224
Columbus Ave & W 72 St,Amsterdam Ave & W 79 St,3 ,735
Columbus Ave & W 72 St,Amsterdam Ave & W 82 St,4 ,1336
Columbus Ave & W 72 St,Bank St & Hudson St,1 ,1894
Columbus Ave & W 72 St,Broadway & Battery Pl,1 ,2186
Columbus Ave & W 72 St,Broadway & Berry St,1 ,7710
Columbus Ave & W 72 St,Broadway & E 14 St,1 ,1655
Columbus Ave & W 72 St,Broadway & W 24 St,3 ,4645
Columbus Ave & W 72 St,Broadway & W 36 St,2 ,2180
Columbus Ave & W 72 St,Broadway & W 37 St,1 ,718
Columbus Ave & W 72 St,Broadway & W 41 St,1 ,672
Columbus Ave & W 72 St,Broadway & W 49 St,4 ,2324
Columbus Ave & W 72 St,Broadway & W 51 St,3 ,1712
Columbus Ave & W 72 St,Broadway & W 53 St,3 ,1576
Columbus Ave & W 72 St,Broadway & W 56 St,3 ,2590
Columbus Ave & W 72 St,Broadway & W 58 St,8 ,3084
Columbus Ave & W 72 St,Broadway & W 60 St,2 ,584
Columbus Ave & W 72 St,Central Park S & 6 Ave,2 ,2704
Columbus Ave & W 72 St,Central Park West & W 102 St,1 ,517
Columbus Ave & W 72 St,Central Park West & W 68 St,2 ,502
Columbus Ave & W 72 St,Central Park West & W 72 St,20 ,3079
Columbus Ave & W 72 St,Christopher St & Greenwich St,1 ,1305
Columbus Ave & W 72 St,Columbus Ave & W 72 St,5 ,3252
Columbus Ave & W 72 St,Cooper Square & E 7 St,1 ,2397
Columbus Ave & W 72 St,E 15 St & 3 Ave,1 ,2200
Columbus Ave & W 72 St,E 16 St & Irving Pl,1 ,1786
Columbus Ave & W 72 St,E 30 St & Park Ave S,2 ,3036
Columbus Ave & W 72 St,E 32 St & Park Ave,1 ,1169
Columbus Ave & W 72 St,E 33 St & 5 Ave,1 ,1197
Columbus Ave & W 72 St,E 39 St & 2 Ave,2 ,2910
Columbus Ave & W 72 St,E 47 St & Park Ave,2 ,1824
Columbus Ave & W 72 St,E 48 St & 5 Ave,2 ,1539
Columbus Ave & W 72 St,E 52 St & 2 Ave,1 ,1049
Columbus Ave & W 72 St,E 53 St & 3 Ave,1 ,653
Columbus Ave & W 72 St,E 55 St & 2 Ave,1 ,774
Columbus Ave & W 72 St,E 55 St & 3 Ave,1 ,895
Columbus Ave & W 72 St,E 55 St & Lexington Ave,1 ,667
Columbus Ave & W 72 St,E 58 St & 3 Ave,3 ,2804
Columbus Ave & W 72 St,E 59 St & Madison Ave,2 ,1255
Columbus Ave & W 72 St,E 65 St & 2 Ave,1 ,668
Columbus Ave & W 72 St,E 68 St & 3 Ave,1 ,874
Columbus Ave & W 72 St,E 71 St & 1 Ave,1 ,752
Columbus Ave & W 72 St,E 72 St & Park Ave,2 ,907
Columbus Ave & W 72 St,E 74 St & 1 Ave,1 ,701
Columbus Ave & W 72 St,E 75 St & 3 Ave,2 ,1386
Columbus Ave & W 72 St,E 76 St & 3 Ave,1 ,1825
Columbus Ave & W 72 St,E 80 St & 2 Ave,1 ,833
Columbus Ave & W 72 St,E 81 St & 3 Ave,1 ,780
Columbus Ave & W 72 St,E 81 St & Park Ave,1 ,825
Columbus Ave & W 72 St,E 81 St & York Ave,2 ,2028
Columbus Ave & W 72 St,E 82 St & East End Ave,1 ,851
Columbus Ave & W 72 St,E 85 St & 3 Ave,2 ,1764
Columbus Ave & W 72 St,E 85 St & York Ave,1 ,886
Columbus Ave & W 72 St,E 91 St & 2 Ave,1 ,1752
Columbus Ave & W 72 St,E 91 St & Park Ave,2 ,1627
Columbus Ave & W 72 St,Frederick Douglass Blvd & W 112 St,1 ,1264
Columbus Ave & W 72 St,Grand Army Plaza & Central Park S,5 ,2535
Columbus Ave & W 72 St,Greenwich St & Hubert St,1 ,1847
Columbus Ave & W 72 St,Greenwich St & W Houston St,1 ,1763
Columbus Ave & W 72 St,Lafayette St & E 8 St,1 ,1865
Columbus Ave & W 72 St,Little West St & 1 Pl,1 ,2237
Columbus Ave & W 72 St,Madison Ave & E 82 St,2 ,1172
Columbus Ave & W 72 St,Murray St & West St,1 ,1670
Columbus Ave & W 72 St,Pershing Square North,3 ,3366
Columbus Ave & W 72 St,Queens Plaza North & Crescent St,1 ,1443
Columbus Ave & W 72 St,Riverside Blvd & W 67 St,3 ,1228
Columbus Ave & W 72 St,Riverside Dr & W 82 St,4 ,2421
Columbus Ave & W 72 St,University Pl & E 8 St,1 ,1893
Columbus Ave & W 72 St,Vesey Pl & River Terrace,1 ,2294
Columbus Ave & W 72 St,W 106 St & Central Park West,1 ,720
Columbus Ave & W 72 St,W 113 St & Broadway,1 ,1505
Columbus Ave & W 72 St,W 116 St & Broadway,2 ,2032
Columbus Ave & W 72 St,W 27 St & 10 Ave,1 ,1057
Columbus Ave & W 72 St,W 27 St & 7 Ave,1 ,1109
Columbus Ave & W 72 St,W 37 St & 5 Ave,1 ,1294
Columbus Ave & W 72 St,W 38 St & 8 Ave,3 ,2531
