,tripduration,starttime,stoptime,startid,startname,endid,endname
4035,371,9/27/2017 0:01,9/27/2017 0:08,319,Fulton St & Broadway,306,Cliff St & Fulton St
4036,317,9/27/2017 0:32,9/27/2017 0:38,319,Fulton St & Broadway,279,Peck Slip & Front St
4037,779,9/27/2017 5:39,9/27/2017 5:52,319,Fulton St & Broadway,358,Christopher St & Greenwich St
4038,286,9/27/2017 6:54,9/27/2017 6:58,319,Fulton St & Broadway,337,Old Slip & Front St
4039,1340,9/27/2017 6:56,9/27/2017 7:18,319,Fulton St & Broadway,3635,W 36 St & 9 Ave
4040,294,9/27/2017 6:58,9/27/2017 7:03,319,Fulton St & Broadway,351,Front St & Maiden Ln
4041,241,9/27/2017 7:17,9/27/2017 7:21,319,Fulton St & Broadway,415,Pearl St & Hanover Square
4042,282,9/27/2017 7:19,9/27/2017 7:24,319,Fulton St & Broadway,315,South St & Gouverneur Ln
4043,1594,9/27/2017 7:24,9/27/2017 7:50,319,Fulton St & Broadway,3399,7 St & 3 Ave
4044,555,9/27/2017 7:31,9/27/2017 7:40,319,Fulton St & Broadway,2009,Catherine St & Monroe St
4045,187,9/27/2017 7:39,9/27/2017 7:42,319,Fulton St & Broadway,3461,Murray St & Greenwich St
4046,1387,9/27/2017 8:01,9/27/2017 8:24,319,Fulton St & Broadway,3389,Carroll St & Columbia St
4047,210,9/27/2017 8:05,9/27/2017 8:09,319,Fulton St & Broadway,309,Murray St & West St
4048,487,9/27/2017 8:15,9/27/2017 8:23,319,Fulton St & Broadway,337,Old Slip & Front St
4049,251,9/27/2017 8:16,9/27/2017 8:20,319,Fulton St & Broadway,304,Broadway & Battery Pl
4050,279,9/27/2017 8:28,9/27/2017 8:32,319,Fulton St & Broadway,427,Bus Slip & State St
4051,295,9/27/2017 8:39,9/27/2017 8:44,319,Fulton St & Broadway,337,Old Slip & Front St
4052,268,9/27/2017 8:42,9/27/2017 8:47,319,Fulton St & Broadway,534,Water - Whitehall Plaza
4053,71,9/27/2017 8:44,9/27/2017 8:45,319,Fulton St & Broadway,195,Liberty St & Broadway
4054,883,9/27/2017 8:48,9/27/2017 9:03,319,Fulton St & Broadway,3184,Paulus Hook
4055,1411,9/27/2017 8:49,9/27/2017 9:13,319,Fulton St & Broadway,379,W 31 St & 7 Ave
4056,305,9/27/2017 8:53,9/27/2017 8:58,319,Fulton St & Broadway,427,Bus Slip & State St
4057,320,9/27/2017 8:53,9/27/2017 8:58,319,Fulton St & Broadway,257,Lispenard St & Broadway
4058,317,9/27/2017 8:53,9/27/2017 8:58,319,Fulton St & Broadway,315,South St & Gouverneur Ln
