startstation,endstation,count,tripduration
1 Ave & E 16 St,8 Ave & W 31 St,8,7078
1 Ave & E 18 St,8 Ave & W 31 St,3,2977
1 Ave & E 30 St,8 Ave & W 31 St,3,1908
1 Ave & E 62 St,8 Ave & W 31 St,1,1556
1 Ave & E 68 St,8 Ave & W 31 St,4,9649
1 Pl & Clinton St,8 Ave & W 31 St,1,2810
10 Hudson Yards,8 Ave & W 31 St,3,1081
11 Ave & W 27 St,8 Ave & W 31 St,55,25425
11 Ave & W 41 St,8 Ave & W 31 St,5,2723
11 Ave & W 59 St,8 Ave & W 31 St,10,8363
12 Ave & W 40 St,8 Ave & W 31 St,4,3385
2 Ave & E 31 St,8 Ave & W 31 St,9,5484
5 Ave & E 29 St,8 Ave & W 31 St,17,6181
5 Ave & E 63 St,8 Ave & W 31 St,3,2637
6 Ave & Canal St,8 Ave & W 31 St,12,12328
6 Ave & Spring St,8 Ave & W 31 St,10,9861
6 Ave & W 33 St,8 Ave & W 31 St,3,3113
8 Ave & W 16 St,8 Ave & W 31 St,59,24355
8 Ave & W 31 St,8 Ave & W 31 St,11,10340
8 Ave & W 33 St,8 Ave & W 31 St,3,5634
8 Ave & W 52 St,8 Ave & W 31 St,6,3665
9 Ave & W 18 St,8 Ave & W 31 St,34,14847
9 Ave & W 22 St,8 Ave & W 31 St,29,10739
9 Ave & W 28 St,8 Ave & W 31 St,15,4080
9 Ave & W 45 St,8 Ave & W 31 St,12,7512
Allen St & Hester St,8 Ave & W 31 St,1,1300
Allen St & Stanton St,8 Ave & W 31 St,1,1091
Amsterdam Ave & W 66 St,8 Ave & W 31 St,2,2305
Amsterdam Ave & W 73 St,8 Ave & W 31 St,2,1855
Avenue D & E 12 St,8 Ave & W 31 St,1,1350
Bank St & Hudson St,8 Ave & W 31 St,10,6121
Bank St & Washington St,8 Ave & W 31 St,10,5560
Barclay St & Church St,8 Ave & W 31 St,4,5702
Barrow St & Hudson St,8 Ave & W 31 St,29,22092
Bayard St & Baxter St,8 Ave & W 31 St,2,2666
Bialystoker Pl & Delancey St,8 Ave & W 31 St,1,1547
Broad St & Bridge St,8 Ave & W 31 St,2,4423
Broadway & Battery Pl,8 Ave & W 31 St,7,10995
Broadway & Berry St,8 Ave & W 31 St,1,2105
Broadway & E 14 St,8 Ave & W 31 St,7,7292
Broadway & E 22 St,8 Ave & W 31 St,11,5830
Broadway & W 24 St,8 Ave & W 31 St,13,6951
Broadway & W 29 St,8 Ave & W 31 St,4,1433
Broadway & W 32 St,8 Ave & W 31 St,3,623
Broadway & W 37 St,8 Ave & W 31 St,2,692
Broadway & W 41 St,8 Ave & W 31 St,7,5514
Broadway & W 49 St,8 Ave & W 31 St,4,2538
Broadway & W 51 St,8 Ave & W 31 St,9,6701
Broadway & W 53 St,8 Ave & W 31 St,5,5276
Broadway & W 56 St,8 Ave & W 31 St,3,2627
Broadway & W 58 St,8 Ave & W 31 St,3,3860
Brooklyn Bridge Park - Pier 2,8 Ave & W 31 St,1,45125
Bus Slip & State St,8 Ave & W 31 St,2,2920
Canal St & Rutgers St,8 Ave & W 31 St,1,1900
Carmine St & 6 Ave,8 Ave & W 31 St,10,7258
Cathedral Pkwy & Broadway,8 Ave & W 31 St,1,1933
Central Park North & Adam Clayton Powell Blvd,8 Ave & W 31 St,1,2628
Central Park S & 6 Ave,8 Ave & W 31 St,1,1305
Central Park West & W 102 St,8 Ave & W 31 St,1,1870
Central Park West & W 68 St,8 Ave & W 31 St,1,985
Centre St & Chambers St,8 Ave & W 31 St,4,6017
Christopher St & Greenwich St,8 Ave & W 31 St,13,7893
Cleveland Pl & Spring St,8 Ave & W 31 St,5,5453
Cliff St & Fulton St,8 Ave & W 31 St,1,1245
Clinton St & 4 Place,8 Ave & W 31 St,1,2514
Clinton St & Grand St,8 Ave & W 31 St,1,1723
Clinton St & Joralemon St,8 Ave & W 31 St,2,4569
Columbus Ave & W 72 St,8 Ave & W 31 St,2,1597
Columbus Ave & W 95 St,8 Ave & W 31 St,1,1366
Concord St & Bridge St,8 Ave & W 31 St,1,2554
Cooper Square & E 7 St,8 Ave & W 31 St,9,8497
Court St & State St,8 Ave & W 31 St,1,1782
Duane St & Greenwich St,8 Ave & W 31 St,1,1274
Duffield St & Willoughby St,8 Ave & W 31 St,1,2492
E 10 St & 5 Ave,8 Ave & W 31 St,1,639
E 10 St & Avenue A,8 Ave & W 31 St,1,1120
E 11 St & 1 Ave,8 Ave & W 31 St,4,4205
E 11 St & 2 Ave,8 Ave & W 31 St,1,837
E 11 St & Broadway,8 Ave & W 31 St,3,2719
E 12 St & 3 Ave,8 Ave & W 31 St,1,1006
E 12 St & Avenue B,8 Ave & W 31 St,1,936
E 13 St & Avenue A,8 Ave & W 31 St,10,9897
E 15 St & 3 Ave,8 Ave & W 31 St,12,9173
E 16 St & 5 Ave,8 Ave & W 31 St,7,4640
E 16 St & Irving Pl,8 Ave & W 31 St,4,2743
E 17 St & Broadway,8 Ave & W 31 St,26,40015
E 2 St & 2 Ave,8 Ave & W 31 St,1,990
E 2 St & Avenue C,8 Ave & W 31 St,3,4170
