startstation,endstation,count
8 Ave & W 31 St,1 Ave & E 16 St,3
8 Ave & W 31 St,1 Ave & E 18 St,2
8 Ave & W 31 St,1 Ave & E 30 St,11
8 Ave & W 31 St,1 Ave & E 62 St,1
8 Ave & W 31 St,1 Ave & E 68 St,9
8 Ave & W 31 St,1 Ave & E 78 St,1
8 Ave & W 31 St,11 Ave & W 27 St,29
8 Ave & W 31 St,11 Ave & W 41 St,5
8 Ave & W 31 St,11 Ave & W 59 St,6
8 Ave & W 31 St,12 Ave & W 40 St,7
8 Ave & W 31 St,2 Ave & E 31 St,5
8 Ave & W 31 St,2 Ave & E 96 St,1
8 Ave & W 31 St,21 St & 43 Ave,1
8 Ave & W 31 St,3 Ave & E 62 St,2
8 Ave & W 31 St,5 Ave & E 29 St,1
8 Ave & W 31 St,5 Ave & E 63 St,1
8 Ave & W 31 St,5 Ave & E 73 St,2
8 Ave & W 31 St,5 Ave & E 88 St,1
8 Ave & W 31 St,6 Ave & Canal St,5
8 Ave & W 31 St,6 Ave & Spring St,7
8 Ave & W 31 St,6 Ave & W 33 St,7
8 Ave & W 31 St,8 Ave & W 16 St,6
8 Ave & W 31 St,8 Ave & W 31 St,5
8 Ave & W 31 St,8 Ave & W 33 St,2
8 Ave & W 31 St,8 Ave & W 52 St,25
8 Ave & W 31 St,9 Ave & W 18 St,34
8 Ave & W 31 St,9 Ave & W 22 St,13
8 Ave & W 31 St,9 Ave & W 28 St,15
8 Ave & W 31 St,9 Ave & W 45 St,11
8 Ave & W 31 St,Allen St & Hester St,1
8 Ave & W 31 St,Allen St & Stanton St,2
8 Ave & W 31 St,Amsterdam Ave & W 125 St,1
8 Ave & W 31 St,Amsterdam Ave & W 66 St,3
8 Ave & W 31 St,Amsterdam Ave & W 73 St,1
8 Ave & W 31 St,Amsterdam Ave & W 79 St,2
8 Ave & W 31 St,Avenue D & E 3 St,1
8 Ave & W 31 St,Avenue D & E 8 St,1
8 Ave & W 31 St,Bank St & Hudson St,4
8 Ave & W 31 St,Bank St & Washington St,1
8 Ave & W 31 St,Barclay St & Church St,3
8 Ave & W 31 St,Barrow St & Hudson St,4
8 Ave & W 31 St,Broadway & Battery Pl,3
8 Ave & W 31 St,Broadway & E 14 St,4
8 Ave & W 31 St,Broadway & E 22 St,8
8 Ave & W 31 St,Broadway & W 24 St,5
8 Ave & W 31 St,Broadway & W 29 St,3
8 Ave & W 31 St,Broadway & W 32 St,1
8 Ave & W 31 St,Broadway & W 36 St,4
8 Ave & W 31 St,Broadway & W 37 St,2
8 Ave & W 31 St,Broadway & W 41 St,5
8 Ave & W 31 St,Broadway & W 49 St,5
8 Ave & W 31 St,Broadway & W 51 St,8
8 Ave & W 31 St,Broadway & W 53 St,7
8 Ave & W 31 St,Broadway & W 56 St,7
8 Ave & W 31 St,Broadway & W 58 St,12
8 Ave & W 31 St,Broadway & W 60 St,10
8 Ave & W 31 St,Bus Slip & State St,1
8 Ave & W 31 St,Cambridge Pl & Gates Ave,1
8 Ave & W 31 St,Carmine St & 6 Ave,3
8 Ave & W 31 St,Central Park S & 6 Ave,5
8 Ave & W 31 St,Central Park W & W 96 St,1
8 Ave & W 31 St,Central Park West & W 68 St,3
8 Ave & W 31 St,Central Park West & W 72 St,2
8 Ave & W 31 St,Central Park West & W 76 St,1
8 Ave & W 31 St,Central Park West & W 85 St,2
8 Ave & W 31 St,Centre St & Chambers St,3
8 Ave & W 31 St,Christopher St & Greenwich St,6
8 Ave & W 31 St,Cleveland Pl & Spring St,2
8 Ave & W 31 St,Clinton St & Grand St,1
8 Ave & W 31 St,Columbia St & Rivington St,1
8 Ave & W 31 St,Columbus Ave & W 72 St,1
8 Ave & W 31 St,Duane St & Greenwich St,4
8 Ave & W 31 St,E 10 St & 5 Ave,5
8 Ave & W 31 St,E 103 St & Lexington Ave,2
8 Ave & W 31 St,E 11 St & 2 Ave,2
8 Ave & W 31 St,E 11 St & Broadway,1
8 Ave & W 31 St,E 110 St & Madison Ave,1
8 Ave & W 31 St,E 12 St & 3 Ave,2
8 Ave & W 31 St,E 12 St & Avenue B,2
8 Ave & W 31 St,E 13 St & Avenue A,3
8 Ave & W 31 St,E 15 St & 3 Ave,2
8 Ave & W 31 St,E 16 St & 5 Ave,4
8 Ave & W 31 St,E 16 St & Irving Pl,6
8 Ave & W 31 St,E 17 St & Broadway,10
8 Ave & W 31 St,E 19 St & 3 Ave,1
8 Ave & W 31 St,E 2 St & 2 Ave,1
8 Ave & W 31 St,E 2 St & Avenue B,1
8 Ave & W 31 St,E 20 St & 2 Ave,2
8 Ave & W 31 St,E 20 St & FDR Drive,7
8 Ave & W 31 St,E 20 St & Park Ave,3
8 Ave & W 31 St,E 23 St & 1 Ave,6
8 Ave & W 31 St,E 24 St & Park Ave S,7
8 Ave & W 31 St,E 25 St & 1 Ave,5
8 Ave & W 31 St,E 25 St & 2 Ave,4
8 Ave & W 31 St,E 27 St & 1 Ave,3
8 Ave & W 31 St,E 3 St & 1 Ave,2
8 Ave & W 31 St,E 30 St & Park Ave S,1
8 Ave & W 31 St,E 31 St & 3 Ave,4
8 Ave & W 31 St,E 32 St & Park Ave,8
8 Ave & W 31 St,E 33 St & 2 Ave,25
8 Ave & W 31 St,E 33 St & 5 Ave,5
8 Ave & W 31 St,E 35 St & 3 Ave,2
8 Ave & W 31 St,E 39 St & 2 Ave,1
8 Ave & W 31 St,E 39 St & 3 Ave,1
8 Ave & W 31 St,E 41 St & Madison Ave,2
8 Ave & W 31 St,E 45 St & 3 Ave,2
8 Ave & W 31 St,E 47 St & Park Ave,11
8 Ave & W 31 St,E 48 St & 3 Ave,6
8 Ave & W 31 St,E 48 St & 5 Ave,8
