endstation,count
1 Ave & E 110 St,1
11 Ave & W 27 St,1
12 Ave & W 40 St,4
2 Ave & E 96 St,1
5 Ave & E 93 St,1
9 Ave & W 28 St,1
Adam Clayton Powell Blvd & W 115 St,2
Amsterdam Ave & W 66 St,1
Amsterdam Ave & W 73 St,2
Baltic St & 5 Ave,1
Bank St & Hudson St,1
Broadway & Moylan Pl,2
Broadway & W 122 St,2
Broadway & W 37 St,1
Broadway & W 51 St,1
Broadway & W 60 St,1
Cathedral Pkwy & Broadway,2
Central Park North & Adam Clayton Powell Blvd,2
Central Park S & 6 Ave,1
Central Park West & W 102 St,1
Central Park West & W 72 St,2
Central Park West & W 85 St,2
E 10 St & 5 Ave,1
E 106 St & Lexington Ave,1
E 48 St & 5 Ave,1
E 59 St & Madison Ave,1
E 85 St & 3 Ave,1
Lenox Ave & W 115 St,1
Lexington Ave & E 24 St,1
Little West St & 1 Pl,3
Riverside Blvd & W 67 St,1
Riverside Dr & W 104 St,2
Riverside Dr & W 78 St,1
Riverside Dr & W 82 St,1
St Nicholas Ave & Manhattan Ave,1
W 100 St & Broadway,3
W 106 St & Central Park West,2
W 107 St & Columbus Ave,1
W 110 St & Amsterdam Ave,1
W 116 St & Broadway,1
W 20 St & 11 Ave,2
W 42 St & Dyer Ave,1
W 46 St & 11 Ave,1
W 52 St & 11 Ave,5
W 56 St & 10 Ave,1
W 63 St & Broadway,1
W 74 St & Columbus Ave,1
W 84 St & Columbus Ave,1
W 89 St & Columbus Ave,2
W 90 St & Amsterdam Ave,1
W 95 St & Broadway,4
Washington St & Gansevoort St,4
West End Ave & W 107 St,1
West End Ave & W 94 St,1
