startstation,endstation,count,totaltime
1 Ave & E 30 St,Fulton St & Broadway,1,1167
1 Pl & Clinton St,Fulton St & Broadway,1,1521
11 Ave & W 27 St,Fulton St & Broadway,1,1397
14 St & 5 Ave,Fulton St & Broadway,1,1746
5 Ave & E 29 St,Fulton St & Broadway,1,1281
6 Ave & Canal St,Fulton St & Broadway,1,589
7 St & 3 Ave,Fulton St & Broadway,1,2091
8 Ave & W 31 St,Fulton St & Broadway,1,1472
Allen St & Hester St,Fulton St & Broadway,1,535
Atlantic Ave & Furman St,Fulton St & Broadway,2,2608
Avenue D & E 12 St,Fulton St & Broadway,1,1366
Bank St & Hudson St,Fulton St & Broadway,1,1256
Bank St & Washington St,Fulton St & Broadway,1,768
Bayard St & Baxter St,Fulton St & Broadway,3,2081
Berkeley Pl & 7 Ave,Fulton St & Broadway,1,2528
Bialystoker Pl & Delancey St,Fulton St & Broadway,1,1078
Bond St & Fulton St,Fulton St & Broadway,1,1563
Broad St & Bridge St,Fulton St & Broadway,1,366
Broadway & Battery Pl,Fulton St & Broadway,4,1480
Broadway & Roebling St,Fulton St & Broadway,1,1030
Bus Slip & State St,Fulton St & Broadway,4,1556
Cadman Plaza E & Red Cross Pl,Fulton St & Broadway,1,1366
Canal St & Rutgers St,Fulton St & Broadway,5,3293
Carlton Ave & Flushing Ave,Fulton St & Broadway,1,1024
Carmine St & 6 Ave,Fulton St & Broadway,2,1817
Catherine St & Monroe St,Fulton St & Broadway,3,1475
Centre St & Chambers St,Fulton St & Broadway,4,962
Centre St & Worth St,Fulton St & Broadway,3,919
Cleveland Pl & Spring St,Fulton St & Broadway,3,1530
Cliff St & Fulton St,Fulton St & Broadway,3,547
Clinton St & Grand St,Fulton St & Broadway,3,2322
Congress St & Clinton St,Fulton St & Broadway,1,830
Duane St & Greenwich St,Fulton St & Broadway,1,422
E 11 St & Broadway,Fulton St & Broadway,2,1427
E 13 St & Avenue A,Fulton St & Broadway,1,1384
E 17 St & Broadway,Fulton St & Broadway,2,2858
E 2 St & 2 Ave,Fulton St & Broadway,3,2197
E 24 St & Park Ave S,Fulton St & Broadway,1,1421
E 27 St & 1 Ave,Fulton St & Broadway,1,1592
E 30 St & Park Ave S,Fulton St & Broadway,1,1401
E 33 St & 5 Ave,Fulton St & Broadway,1,1338
E 4 St & 2 Ave,Fulton St & Broadway,1,1165
E 51 St & 1 Ave,Fulton St & Broadway,1,2098
E 55 St & 2 Ave,Fulton St & Broadway,1,1547
Forsyth St & Broome St,Fulton St & Broadway,1,741
Forsyth St & Canal St,Fulton St & Broadway,1,509
Franklin St & W Broadway,Fulton St & Broadway,1,428
Front St & Maiden Ln,Fulton St & Broadway,4,1149
Fulton St & Broadway,Fulton St & Broadway,3,658
Fulton St & Washington Ave,Fulton St & Broadway,1,1690
Graham Ave & Herbert St,Fulton St & Broadway,1,1571
Grand Army Plaza & Central Park S,Fulton St & Broadway,1,2352
Grand St & Elizabeth St,Fulton St & Broadway,2,964
Great Jones St,Fulton St & Broadway,1,921
Greenwich St & Hubert St,Fulton St & Broadway,2,694
Harrison St & Hudson St,Fulton St & Broadway,1,824
Henry St & Grand St,Fulton St & Broadway,3,3300
Howard St & Centre St,Fulton St & Broadway,1,347
Jay St & Tech Pl,Fulton St & Broadway,1,652
John St & William St,Fulton St & Broadway,1,174
Kent Ave & N 7 St,Fulton St & Broadway,1,1432
Kingston Ave & Herkimer St,Fulton St & Broadway,1,1758
Lafayette St & E 8 St,Fulton St & Broadway,1,1388
Lafayette St & Jersey St,Fulton St & Broadway,3,2242
Lawrence St & Willoughby St,Fulton St & Broadway,2,2738
Lispenard St & Broadway,Fulton St & Broadway,5,5018
Little West St & 1 Pl,Fulton St & Broadway,1,332
MacDougal St & Prince St,Fulton St & Broadway,1,633
MacDougal St & Washington Sq,Fulton St & Broadway,1,892
Madison Ave & E 82 St,Fulton St & Broadway,1,1847
Maiden Ln & Pearl St,Fulton St & Broadway,3,1774
Mott St & Prince St,Fulton St & Broadway,1,732
Murray St & West St,Fulton St & Broadway,2,500
Nassau Ave & Russell St,Fulton St & Broadway,1,2225
Old Slip & Front St,Fulton St & Broadway,2,919
Pearl St & Hanover Square,Fulton St & Broadway,2,676
Peck Slip & Front St,Fulton St & Broadway,1,269
Pershing Square North,Fulton St & Broadway,3,4643
Pike St & E Broadway,Fulton St & Broadway,2,1173
Pike St & Monroe St,Fulton St & Broadway,4,2358
Reade St & Broadway,Fulton St & Broadway,2,581
Rivington St & Chrystie St,Fulton St & Broadway,2,2233
Rivington St & Ridge St,Fulton St & Broadway,1,741
South End Ave & Liberty St,Fulton St & Broadway,3,949
South St & Gouverneur Ln,Fulton St & Broadway,3,1451
St Marks Pl & 2 Ave,Fulton St & Broadway,1,719
Stanton St & Mangin St,Fulton St & Broadway,1,1388
Union St & 4 Ave,Fulton St & Broadway,1,1130
University Pl & E 14 St,Fulton St & Broadway,1,1263
Vesey Pl & River Terrace,Fulton St & Broadway,1,709
W 13 St & Hudson St,Fulton St & Broadway,1,1117
W 15 St & 7 Ave,Fulton St & Broadway,1,835
W 20 St & 7 Ave,Fulton St & Broadway,1,1350
W 21 St & 6 Ave,Fulton St & Broadway,1,1147
W 22 St & 10 Ave,Fulton St & Broadway,1,2103
W 22 St & 8 Ave,Fulton St & Broadway,1,1637
W 31 St & 7 Ave,Fulton St & Broadway,2,2824
W 34 St & 11 Ave,Fulton St & Broadway,1,1225
W 4 St & 7 Ave S,Fulton St & Broadway,2,1863
W 44 St & 5 Ave,Fulton St & Broadway,1,2037
W 55 St & 6 Ave,Fulton St & Broadway,1,3592
Warren St & Church St,Fulton St & Broadway,1,175
Washington Pl & Broadway,Fulton St & Broadway,1,736
Water - Whitehall Plaza,Fulton St & Broadway,2,995
Watts St & Greenwich St,Fulton St & Broadway,1,465
West End Ave & W 94 St,Fulton St & Broadway,1,1625
West Thames St,Fulton St & Broadway,2,1203
William St & Pine St,Fulton St & Broadway,3,1223
Willoughby St & Fleet St,Fulton St & Broadway,1,1123
