startstation,endstation,count,totaltime
Fulton St & Broadway,1 Ave & E 16 St,1,1163
Fulton St & Broadway,10 St & 7 Ave,1,1759
Fulton St & Broadway,11 Ave & W 59 St,1,1917
Fulton St & Broadway,6 Ave & Canal St,3,1044
Fulton St & Broadway,6 Ave & Spring St,2,1067
Fulton St & Broadway,6 Ave & W 33 St,1,1760
Fulton St & Broadway,7 St & 3 Ave,1,1594
Fulton St & Broadway,8 Ave & W 16 St,2,2361
Fulton St & Broadway,8 Ave & W 31 St,1,1665
Fulton St & Broadway,9 Ave & W 45 St,1,1687
Fulton St & Broadway,Allen St & Hester St,2,1613
Fulton St & Broadway,Allen St & Stanton St,1,1152
Fulton St & Broadway,Bank St & Hudson St,1,1132
Fulton St & Broadway,Bank St & Washington St,1,1153
Fulton St & Broadway,Barclay St & Church St,1,166
Fulton St & Broadway,Barrow St & Hudson St,1,2284
Fulton St & Broadway,Bayard St & Baxter St,2,1603
Fulton St & Broadway,Broad St & Bridge St,2,867
Fulton St & Broadway,Broadway & Battery Pl,9,1989
Fulton St & Broadway,Broadway & W 24 St,1,1688
Fulton St & Broadway,Bus Slip & State St,4,2180
Fulton St & Broadway,Butler St & Court St,1,1031
Fulton St & Broadway,Canal St & Rutgers St,2,1645
Fulton St & Broadway,Carmine St & 6 Ave,3,4287
Fulton St & Broadway,Carroll St & Columbia St,1,1387
Fulton St & Broadway,Catherine St & Monroe St,2,942
Fulton St & Broadway,Centre St & Worth St,2,2285
Fulton St & Broadway,Cherry St,3,4636
Fulton St & Broadway,Christopher St & Greenwich St,2,1856
Fulton St & Broadway,Cleveland Pl & Spring St,1,694
Fulton St & Broadway,Cliff St & Fulton St,3,1401
Fulton St & Broadway,Clinton St & Grand St,1,826
Fulton St & Broadway,Clinton St & Joralemon St,1,902
Fulton St & Broadway,Duane St & Greenwich St,1,297
Fulton St & Broadway,E 12 St & 3 Ave,1,1006
Fulton St & Broadway,E 19 St & 3 Ave,2,2064
Fulton St & Broadway,E 2 St & 2 Ave,1,798
Fulton St & Broadway,E 20 St & 2 Ave,2,2459
Fulton St & Broadway,E 25 St & 1 Ave,1,1577
Fulton St & Broadway,E 25 St & 2 Ave,1,1399
Fulton St & Broadway,E 27 St & 1 Ave,1,1809
Fulton St & Broadway,E 3 St & 1 Ave,1,832
Fulton St & Broadway,E 32 St & Park Ave,1,1207
Fulton St & Broadway,E 33 St & 2 Ave,1,1138
Fulton St & Broadway,E 51 St & 1 Ave,1,2507
Fulton St & Broadway,Front St & Maiden Ln,1,294
Fulton St & Broadway,Front St & Maiden Ln,3,3200
Fulton St & Broadway,Grand St & Elizabeth St,1,654
Fulton St & Broadway,Great Jones St,2,2003
Fulton St & Broadway,Greenwich Ave & 8 Ave,1,889
Fulton St & Broadway,Hanson Pl & Ashland Pl,1,1035
Fulton St & Broadway,Harrison St & Hudson St,3,1172
Fulton St & Broadway,Henry St & Grand St,1,989
Fulton St & Broadway,Hudson St & Reade St,1,350
Fulton St & Broadway,John St & William St,1,184
Fulton St & Broadway,Lafayette St & Jersey St,1,676
Fulton St & Broadway,Leonard St & Church St,2,1419
Fulton St & Broadway,Lexington Ave & E 24 St,1,1361
Fulton St & Broadway,Liberty St & Broadway,1,71
Fulton St & Broadway,Lispenard St & Broadway,1,320
Fulton St & Broadway,MacDougal St & Washington Sq,1,2277
Fulton St & Broadway,Madison St & Montgomery St,1,642
Fulton St & Broadway,Maiden Ln & Pearl St,2,331
Fulton St & Broadway,Mercer St & Spring St,3,2588
Fulton St & Broadway,Milton St & Franklin St,1,2150
Fulton St & Broadway,Murray St & Greenwich St,1,187
Fulton St & Broadway,Murray St & West St,1,210
Fulton St & Broadway,Norfolk St & Broome St,2,1764
Fulton St & Broadway,Old Slip & Front St,4,1452
Fulton St & Broadway,Pacific St & Nevins St,1,1340
Fulton St & Broadway,Paulus Hook,1,883
Fulton St & Broadway,Pearl St & Anchorage Pl,1,1486
Fulton St & Broadway,Pearl St & Hanover Square,10,3104
Fulton St & Broadway,Peck Slip & Front St,1,317
Fulton St & Broadway,Pike St & E Broadway,1,1059
Fulton St & Broadway,Pike St & Monroe St,4,4130
Fulton St & Broadway,Riverside Dr & W 72 St,1,2009
Fulton St & Broadway,Scholes St & Manhattan Ave,1,1683
Fulton St & Broadway,South End Ave & Liberty St,3,761
Fulton St & Broadway,South St & Gouverneur Ln,2,599
Fulton St & Broadway,South St & Whitehall St,1,510
Fulton St & Broadway,St James Pl & Oliver St,1,403
Fulton St & Broadway,St Marks Pl & 2 Ave,2,2198
Fulton St & Broadway,University Pl & E 14 St,5,7765
Fulton St & Broadway,University Pl & E 8 St,1,1555
Fulton St & Broadway,Vesey Pl & River Terrace,1,303
Fulton St & Broadway,W 13 St & 6 Ave,2,2575
Fulton St & Broadway,W 13 St & Hudson St,2,2023
Fulton St & Broadway,W 18 St & 6 Ave,1,1582
Fulton St & Broadway,W 20 St & 11 Ave,1,757
Fulton St & Broadway,W 20 St & 8 Ave,1,1368
Fulton St & Broadway,W 25 St & 6 Ave,1,877
Fulton St & Broadway,W 27 St & 10 Ave,1,1335
Fulton St & Broadway,W 31 St & 7 Ave,1,1411
Fulton St & Broadway,W 36 St & 9 Ave,1,1340
Fulton St & Broadway,W 41 St & 8 Ave,1,1910
Fulton St & Broadway,W 42 St & Dyer Ave,1,1528
Fulton St & Broadway,W 44 St & 5 Ave,1,1850
Fulton St & Broadway,W 46 St & 11 Ave,1,1669
Fulton St & Broadway,Warren St & Church St,1,1021
Fulton St & Broadway,Water - Whitehall Plaza,2,550
Fulton St & Broadway,Watts St & Greenwich St,2,893
Fulton St & Broadway,West Thames St,4,1512
Fulton St & Broadway,William St & Pine St,3,1337
Fulton St & Broadway,Willoughby Ave & Walworth St,1,1609
