startstation,count
1 Ave & E 62 St,1
1 Ave & E 68 St,1
11 Ave & W 27 St,1
11 Ave & W 41 St,3
11 Ave & W 59 St,1
5 Ave & E 29 St,3
5 Ave & E 93 St,1
6 Ave & W 33 St,5
8 Ave & W 31 St,4
8 Ave & W 33 St,7
9 Ave & W 18 St,1
9 Ave & W 22 St,1
9 Ave & W 28 St,1
9 Ave & W 45 St,1
Allen St & Stanton St,1
Amsterdam Ave & W 73 St,1
Avenue D & E 12 St,1
Barclay St & Church St,2
Barrow St & Hudson St,1
Broadway & E 14 St,1
Broadway & E 22 St,1
Broadway & W 29 St,1
Broadway & W 32 St,4
Broadway & W 36 St,4
Broadway & W 37 St,2
Broadway & W 41 St,5
Broadway & W 49 St,2
Broadway & W 51 St,4
Broadway & W 56 St,2
Broadway & W 58 St,1
Central Park West & W 68 St,2
Centre St & Chambers St,1
Cleveland Pl & Spring St,1
Columbia St & Rivington St,1
Cooper Square & E 7 St,2
Duane St & Greenwich St,1
E 11 St & Broadway,1
E 12 St & 3 Ave,3
E 123 St & Lexington Ave,1
E 16 St & 5 Ave,1
E 17 St & Broadway,2
E 19 St & 3 Ave,1
E 2 St & 2 Ave,1
E 2 St & Avenue C,1
E 20 St & 2 Ave,2
E 20 St & Park Ave,6
E 24 St & Park Ave S,6
E 30 St & Park Ave S,3
E 32 St & Park Ave,4
E 33 St & 5 Ave,5
E 39 St & 2 Ave,3
E 4 St & 2 Ave,1
E 41 St & Madison Ave,1
E 44 St & 2 Ave,1
E 45 St & 3 Ave,2
E 47 St & Park Ave,1
E 48 St & 3 Ave,2
E 48 St & 5 Ave,3
E 51 St & 1 Ave,1
E 51 St & Lexington Ave,1
E 52 St & 2 Ave,2
E 53 St & 3 Ave,4
E 55 St & 3 Ave,2
E 55 St & Lexington Ave,2
E 58 St & 3 Ave,2
E 59 St & Madison Ave,1
E 60 St & York Ave,1
E 68 St & 3 Ave,1
E 80 St & 2 Ave,1
E 81 St & York Ave,1
E 89 St & York Ave,2
East End Ave & E 86 St,1
FDR Drive & E 35 St,1
Fulton St & Adams St,2
Grand Army Plaza & Central Park S,1
Great Jones St,1
Greenwich Ave & Charles St,1
Greenwich St & W Houston St,1
Lafayette St & Jersey St,1
LaGuardia Pl & W 3 St,1
Lawrence St & Willoughby St,1
Lexington Ave & E 24 St,3
Lexington Ave & E 29 St,3
Madison Ave & E 99 St,1
Mercer St & Bleecker St,1
Mott St & Prince St,1
Peck Slip & Front St,1
Perry St & Bleecker St,1
Pershing Square South,1
Riverside Dr & W 82 St,1
Rivington St & Chrystie St,2
Schermerhorn St & Court St,1
W 106 St & Central Park West,1
W 11 St & 6 Ave,1
W 13 St & 6 Ave,1
W 20 St & 8 Ave,1
W 21 St & 6 Ave,3
W 24 St & 7 Ave,1
W 27 St & 7 Ave,3
W 31 St & 7 Ave,4
W 33 St & 7 Ave,7
W 37 St & 10 Ave,4
W 37 St & 5 Ave,1
W 38 St & 8 Ave,10
W 4 St & 7 Ave S,2
W 41 St & 8 Ave,6
W 45 St & 6 Ave,1
W 45 St & 8 Ave,1
W 46 St & 11 Ave,2
W 52 St & 5 Ave,4
W 52 St & 6 Ave,3
W 55 St & 6 Ave,1
W 56 St & 10 Ave,1
W 63 St & Broadway,1
W 67 St & Broadway,2
W 95 St & Broadway,1
West St & Chambers St,1
