endstation,count
1 Ave & E 16 St,3
1 Ave & E 18 St,1
1 Ave & E 44 St,1
1 Ave & E 62 St,1
11 Ave & W 59 St,2
6 Ave & Spring St,1
6 Ave & W 33 St,1
8 Ave & W 16 St,3
8 Ave & W 31 St,1
9 Ave & W 18 St,2
9 Ave & W 22 St,1
9 Ave & W 28 St,1
Adelphi St & Myrtle Ave,1
Allen St & Hester St,1
Allen St & Rivington St,2
Allen St & Stanton St,2
Avenue D & E 3 St,1
Avenue D & E 8 St,1
Bank St & Washington St,1
Barrow St & Hudson St,2
Berkeley Pl & 7 Ave,1
Broadway & Battery Pl,1
Broadway & E 14 St,4
Broadway & E 22 St,11
Broadway & W 29 St,2
Broadway & W 36 St,1
Broadway & W 49 St,1
Butler St & Court St,1
Carmine St & 6 Ave,1
Christopher St & Greenwich St,8
Cleveland Pl & Spring St,4
Columbia St & Rivington St,1
Cooper Square & E 7 St,1
Division St & Bowery,2
Duane St & Greenwich St,1
E 10 St & 5 Ave,5
E 10 St & Avenue A,5
E 11 St & 1 Ave,7
E 11 St & 2 Ave,1
E 11 St & Broadway,1
E 12 St & 3 Ave,3
E 12 St & Avenue B,3
E 13 St & Avenue A,4
E 15 St & 3 Ave,2
E 16 St & 5 Ave,4
E 16 St & Irving Pl,4
E 17 St & Broadway,11
E 19 St & 3 Ave,3
E 2 St & 2 Ave,1
E 2 St & Avenue B,2
E 2 St & Avenue C,2
E 20 St & 2 Ave,2
E 20 St & FDR Drive,2
E 20 St & Park Ave,7
E 23 St & 1 Ave,2
E 24 St & Park Ave S,2
E 25 St & 1 Ave,4
E 25 St & 2 Ave,2
E 27 St & 1 Ave,2
E 3 St & 1 Ave,1
E 30 St & Park Ave S,6
E 31 St & 3 Ave,2
E 32 St & Park Ave,6
E 33 St & 2 Ave,3
E 33 St & 5 Ave,1
E 35 St & 3 Ave,2
E 39 St & 2 Ave,1
E 39 St & 3 Ave,1
E 4 St & 2 Ave,2
E 45 St & 3 Ave,1
E 47 St & 2 Ave,1
E 53 St & Madison Ave,1
E 55 St & 2 Ave,1
E 6 St & Avenue D,1
E 60 St & York Ave,1
E 7 St & Avenue A,9
E 72 St & York Ave,1
E 74 St & 1 Ave,1
E 9 St & Avenue C,7
FDR Drive & E 35 St,1
Forsyth St & Canal St,1
Franklin St & W Broadway,2
Fulton St & Broadway,1
Graham Ave & Conselyea St,1
Grand St & Elizabeth St,4
Grand St & Greene St,1
Great Jones St,1
Greenwich Ave & 8 Ave,5
Greenwich Ave & Charles St,1
Greenwich St & Hubert St,2
Greenwich St & W Houston St,1
Harrison St & Hudson St,1
Hicks St & Montague St,1
Howard St & Centre St,2
Hudson St & Reade St,1
Lafayette St & E 8 St,3
Lafayette St & Jersey St,2
LaGuardia Pl & W 3 St,7
Lexington Ave & E 24 St,5
Liberty St & Broadway,2
MacDougal St & Prince St,3
MacDougal St & Washington Sq,2
Mercer St & Bleecker St,4
Mott St & Prince St,1
Murray St & West St,1
Norfolk St & Broome St,2
Perry St & Bleecker St,3
Pershing Square North,2
Pike St & Monroe St,1
Queens Plaza North & Crescent St,1
Riverside Dr & W 72 St,1
S Portland Ave & Hanson Pl,1
South End Ave & Liberty St,2
St Marks Pl & 1 Ave,5
Stagg St & Union Ave,1
Stanton St & Chrystie St,1
Suffolk St & Stanton St,1
Sullivan St & Washington Sq,3
University Pl & E 14 St,4
University Pl & E 8 St,2
W 11 St & 6 Ave,2
W 13 St & 5 Ave,2
W 13 St & 6 Ave,5
W 13 St & 7 Ave,4
W 13 St & Hudson St,5
W 15 St & 10 Ave,1
W 15 St & 7 Ave,1
W 16 St & The High Line,2
W 17 St & 8 Ave,2
W 18 St & 6 Ave,2
W 20 St & 11 Ave,4
W 20 St & 8 Ave,1
W 21 St & 6 Ave,8
W 22 St & 10 Ave,1
W 22 St & 8 Ave,1
W 24 St & 7 Ave,2
W 25 St & 6 Ave,3
W 27 St & 10 Ave,4
W 27 St & 7 Ave,3
W 31 St & 7 Ave,2
W 37 St & 10 Ave,1
W 38 St & 8 Ave,2
W 4 St & 7 Ave S,1
W 41 St & 8 Ave,4
W 45 St & 6 Ave,1
W 52 St & 6 Ave,1
W 55 St & 6 Ave,1
W Broadway & Spring Street,1
Warren St & Church St,1
Washington Pl & 6 Ave,2
Washington Pl & Broadway,1
Washington St & Gansevoort St,1
West St & Chambers St,6
