startstation,count
1 Ave & E 16 St,3
11 Ave & W 27 St,5
11 Ave & W 41 St,1
5 Ave & E 29 St,3
5 Ave & E 88 St,1
8 Ave & W 16 St,7
8 Ave & W 31 St,5
9 Ave & W 18 St,3
9 Ave & W 22 St,1
9 Ave & W 28 St,4
9 Ave & W 45 St,4
Allen St & Hester St,1
Allen St & Rivington St,1
Allen St & Stanton St,1
Amsterdam Ave & W 66 St,2
Amsterdam Ave & W 79 St,1
Bank St & Hudson St,6
Bank St & Washington St,4
Barrow St & Hudson St,1
Bayard St & Baxter St,4
Broadway & Battery Pl,2
Broadway & E 14 St,1
Broadway & E 22 St,2
Broadway & W 25 St,3
Broadway & W 29 St,2
Broadway & W 36 St,7
Broadway & W 37 St,1
Broadway & W 53 St,2
Canal St & Rutgers St,2
Carmine St & 6 Ave,4
Central Park West & W 76 St,1
Christopher St & Greenwich St,3
Cleveland Pl & Spring St,4
Columbus Ave & W 72 St,3
Duane St & Greenwich St,2
E 10 St & Avenue A,2
E 11 St & 1 Ave,1
E 11 St & 2 Ave,1
E 115 St & Madison Ave,1
E 13 St & Avenue A,2
E 2 St & 2 Ave,1
E 2 St & Avenue B,1
E 20 St & 2 Ave,4
E 20 St & FDR Drive,1
E 24 St & Park Ave S,2
E 30 St & Park Ave S,1
E 31 St & 3 Ave,2
E 39 St & 2 Ave,1
E 51 St & Lexington Ave,1
E 7 St & Avenue A,2
E 81 St & 3 Ave,1
E 9 St & Avenue C,1
FDR Drive & E 35 St,2
Grand Army Plaza & Central Park S,1
Grand St & Elizabeth St,1
Great Jones St,1
Greenwich Ave & 8 Ave,5
Greenwich Ave & Charles St,3
Greenwich St & Hubert St,1
Greenwich St & W Houston St,2
Henry St & Grand St,1
Kent Ave & N 7 St,1
Lafayette St & Jersey St,1
LaGuardia Pl & W 3 St,1
Lexington Ave & E 24 St,1
MacDougal St & Washington Sq,4
Metropolitan Ave & Meeker Ave,1
N 6 St & Bedford Ave,1
Pier 40 - Hudson River Park,1
Reade St & Broadway,1
St Marks Pl & 1 Ave,1
Suffolk St & Stanton St,1
University Pl & E 14 St,1
Vesey Pl & River Terrace,1
W 13 St & Hudson St,1
W 16 St & The High Line,3
W 17 St & 8 Ave,6
W 18 St & 6 Ave,2
W 20 St & 11 Ave,1
W 20 St & 7 Ave,2
W 20 St & 8 Ave,5
W 21 St & 6 Ave,4
W 22 St & 10 Ave,2
W 22 St & 8 Ave,5
W 24 St & 7 Ave,2
W 25 St & 6 Ave,4
W 27 St & 10 Ave,8
W 27 St & 7 Ave,3
W 31 St & 7 Ave,1
W 34 St & 11 Ave,2
W 37 St & 10 Ave,4
W 4 St & 7 Ave S,5
W 41 St & 8 Ave,1
W 42 St & Dyer Ave,2
W 47 St & 10 Ave,1
W 52 St & 11 Ave,1
W 52 St & 9 Ave,1
W 54 St & 9 Ave,2
W 56 St & 10 Ave,1
W 67 St & Broadway,1
W 95 St & Broadway,1
Washington St & Gansevoort St,2
West End Ave & W 94 St,1
West St & Chambers St,1
Willoughby Ave & Hall St,1
