endstation,count
1 Ave & E 62 St,2
1 Ave & E 68 St,3
1 Ave & E 78 St,1
11 Ave & W 27 St,1
11 Ave & W 41 St,1
11 Ave & W 59 St,3
3 Ave & E 62 St,1
3 Ave & E 71 St,1
3 Ave & E 72 St,2
5 Ave & E 103 St,1
5 Ave & E 73 St,3
5 Ave & E 88 St,2
8 Ave & W 31 St,3
9 Ave & W 28 St,1
9 Ave & W 45 St,3
Amsterdam Ave & W 66 St,1
Amsterdam Ave & W 73 St,2
Amsterdam Ave & W 79 St,5
Amsterdam Ave & W 82 St,1
Bank St & Hudson St,1
Broadway & W 25 St,1
Broadway & W 36 St,2
Broadway & W 41 St,1
Broadway & W 49 St,1
Broadway & W 51 St,4
Broadway & W 56 St,1
Broadway & W 58 St,4
Broadway & W 60 St,6
Carmine St & 6 Ave,1
Central Park S & 6 Ave,1
Central Park West & W 100 St,1
Central Park West & W 68 St,4
Central Park West & W 72 St,13
Central Park West & W 85 St,1
Columbus Ave & W 72 St,4
Columbus Ave & W 95 St,1
E 16 St & 5 Ave,2
E 32 St & Park Ave,2
E 39 St & 2 Ave,1
E 39 St & 3 Ave,2
E 41 St & Madison Ave,1
E 47 St & 2 Ave,1
E 48 St & 3 Ave,1
E 48 St & 5 Ave,2
E 58 St & 1 Ave,1
E 58 St & 3 Ave,3
E 6 St & Avenue D,2
E 67 St & Park Ave,1
E 76 St & 3 Ave,1
E 76 St & Park Ave,3
E 81 St & 3 Ave,1
E 85 St & York Ave,1
E 88 St & 1 Ave,1
E 95 St & 3 Ave,2
Grand Army Plaza & Central Park S,4
Greenwich Ave & 8 Ave,1
Greenwich St & W Houston St,1
Harrison St & Hudson St,1
Lenox Ave & W 115 St,2
Lenox Ave & W 126 St,1
Lexington Ave & E 24 St,1
Madison Ave & E 82 St,1
Pershing Square North,2
Pier 40 - Hudson River Park,1
Queens Plaza North & Crescent St,1
Riverside Blvd & W 67 St,1
Riverside Dr & W 104 St,2
Riverside Dr & W 72 St,3
Riverside Dr & W 78 St,2
Riverside Dr & W 82 St,2
S 3 St & Bedford Ave,1
South End Ave & Liberty St,2
Suffolk St & Stanton St,1
W 100 St & Manhattan Ave,2
W 106 St & Amsterdam Ave,1
W 106 St & Central Park West,1
W 110 St & Amsterdam Ave,1
W 20 St & 11 Ave,1
W 21 St & 6 Ave,1
W 34 St & 11 Ave,1
W 37 St & 10 Ave,3
W 37 St & 5 Ave,1
W 38 St & 8 Ave,1
W 42 St & 8 Ave,1
W 42 St & Dyer Ave,1
W 43 St & 6 Ave,1
W 44 St & 5 Ave,1
W 47 St & 10 Ave,2
W 49 St & 8 Ave,3
W 52 St & 5 Ave,1
W 52 St & 9 Ave,3
W 53 St & 10 Ave,2
W 54 St & 9 Ave,3
W 55 St & 6 Ave,2
W 56 St & 10 Ave,1
W 59 St & 10 Ave,2
W 63 St & Broadway,10
W 67 St & Broadway,3
W 78 St & Broadway,6
W 84 St & Broadway,5
W 84 St & Columbus Ave,2
W 87 St & Amsterdam Ave,3
W 89 St & Columbus Ave,1
W 90 St & Amsterdam Ave,2
W 95 St & Broadway,2
W Broadway & Spring Street,2
Watts St & Greenwich St,2
West St & Chambers St,2
