startstation,count
1 Ave & E 16 St,2
1 Ave & E 18 St,2
1 Ave & E 30 St,2
1 Ave & E 78 St,1
11 Ave & W 41 St,2
11 Ave & W 59 St,2
6 Ave & Canal St,2
6 Ave & Spring St,2
6 Ave & W 33 St,1
8 Ave & W 16 St,5
8 Ave & W 31 St,1
8 Ave & W 52 St,2
9 Ave & W 18 St,4
9 Ave & W 22 St,3
9 Ave & W 45 St,2
Adelphi St & Myrtle Ave,1
Allen St & Hester St,1
Allen St & Rivington St,2
Amsterdam Ave & W 66 St,1
Avenue D & E 12 St,1
Avenue D & E 8 St,1
Barrow St & Hudson St,2
Bayard St & Baxter St,2
Broadway & E 14 St,3
Broadway & E 22 St,4
Broadway & Moylan Pl,1
Broadway & Roebling St,1
Broadway & W 24 St,4
Broadway & W 29 St,1
Broadway & W 36 St,1
Broadway & W 41 St,1
Broadway & W 51 St,1
Broadway & W 56 St,2
Broadway & W 58 St,1
Carmine St & 6 Ave,2
Catherine St & Monroe St,1
Centre St & Worth St,1
Christopher St & Greenwich St,5
Clark St & Henry St,1
Cleveland Pl & Spring St,4
Clinton St & Joralemon St,1
Clinton St & Union St,2
Columbus Ave & W 72 St,1
Cooper Square & E 7 St,1
E 10 St & 5 Ave,5
E 10 St & Avenue A,7
E 11 St & 1 Ave,3
E 11 St & 2 Ave,5
E 12 St & 3 Ave,2
E 12 St & Avenue B,5
E 13 St & Avenue A,2
E 15 St & 3 Ave,1
E 16 St & 5 Ave,5
E 16 St & Irving Pl,1
E 17 St & Broadway,4
E 19 St & 3 Ave,2
E 2 St & 2 Ave,2
E 20 St & 2 Ave,4
E 20 St & FDR Drive,1
E 20 St & Park Ave,1
E 23 St & 1 Ave,1
E 24 St & Park Ave S,3
E 25 St & 1 Ave,1
E 25 St & 2 Ave,2
E 27 St & 1 Ave,3
E 3 St & 1 Ave,2
E 32 St & Park Ave,2
E 33 St & 2 Ave,2
E 39 St & 3 Ave,1
E 4 St & 2 Ave,2
E 47 St & Park Ave,1
E 48 St & 3 Ave,1
E 5 St & Avenue C,1
E 6 St & Avenue B,3
E 67 St & Park Ave,1
E 7 St & Avenue A,8
E 9 St & Avenue C,5
Emerson Pl & Myrtle Ave,1
FDR Drive & E 35 St,1
Forsyth St & Broome St,2
Forsyth St & Canal St,2
Franklin St & W Broadway,2
Fulton St & Rockwell Pl,1
Grand St & Elizabeth St,5
Grand St & Greene St,2
Great Jones St,7
Greenwich Ave & 8 Ave,5
Greenwich Ave & Charles St,5
Greenwich St & W Houston St,1
Henry St & Grand St,3
Howard St & Centre St,2
Lafayette St & E 8 St,3
Lafayette St & Jersey St,10
LaGuardia Pl & W 3 St,7
Laight St & Hudson St,1
Leonard St & Church St,3
Lexington Ave & E 24 St,2
Liberty St & Broadway,1
Lispenard St & Broadway,1
Little West St & 1 Pl,1
MacDougal St & Prince St,3
MacDougal St & Washington Sq,5
Mercer St & Bleecker St,1
Mott St & Prince St,4
Murray St & West St,1
Norfolk St & Broome St,1
Perry St & Bleecker St,3
Pershing Square North,2
Reade St & Broadway,3
Riverside Dr & W 104 St,1
Rivington St & Chrystie St,2
S 5 Pl & S 4 St,1
South End Ave & Liberty St,1
St Marks Pl & 1 Ave,5
St Marks Pl & 2 Ave,2
Stanton St & Chrystie St,2
Suffolk St & Stanton St,1
Sullivan St & Washington Sq,6
University Pl & E 14 St,3
University Pl & E 8 St,1
Vesey Pl & River Terrace,1
W 11 St & 6 Ave,3
W 13 St & 5 Ave,5
W 13 St & 6 Ave,3
W 13 St & 7 Ave,1
W 13 St & Hudson St,1
W 15 St & 10 Ave,1
W 15 St & 7 Ave,6
W 17 St & 8 Ave,1
W 18 St & 6 Ave,4
W 20 St & 11 Ave,2
W 20 St & 8 Ave,1
W 21 St & 6 Ave,1
W 22 St & 10 Ave,3
W 22 St & 8 Ave,1
W 27 St & 10 Ave,2
W 27 St & 7 Ave,5
W 33 St & 7 Ave,2
W 37 St & 10 Ave,2
W 37 St & 5 Ave,1
W 38 St & 8 Ave,2
W 4 St & 7 Ave S,2
W 42 St & 8 Ave,1
W 43 St & 6 Ave,1
W 44 St & 5 Ave,1
W 46 St & 11 Ave,1
W 47 St & 10 Ave,1
W 53 St & 10 Ave,1
W 88 St & West End Ave,1
W 89 St & Columbus Ave,1
W Broadway & Spring Street,1
Washington Pl & 6 Ave,3
Washington Pl & Broadway,4
Water - Whitehall Plaza,1
Watts St & Greenwich St,1
West St & Chambers St,1
West Thames St,1
