endstation,count
1 Ave & E 16 St,1
1 Ave & E 30 St,1
1 Ave & E 62 St,1
1 Ave & E 68 St,1
1 Ave & E 94 St,1
11 Ave & W 27 St,1
11 Ave & W 41 St,1
12 Ave & W 40 St,1
3 Ave & E 62 St,1
5 Ave & E 29 St,7
5 Ave & E 73 St,2
6 Ave & Canal St,2
6 Ave & W 33 St,1
8 Ave & W 31 St,2
8 Ave & W 33 St,10
9 Ave & W 18 St,2
9 Ave & W 28 St,1
Bank St & Washington St,1
Barclay St & Church St,1
Bayard St & Baxter St,4
Broad St & Bridge St,1
Broadway & Battery Pl,2
Broadway & E 22 St,6
Broadway & W 24 St,2
Broadway & W 29 St,4
Broadway & W 32 St,3
Broadway & W 36 St,1
Broadway & W 37 St,5
Broadway & W 41 St,2
Broadway & W 49 St,1
Broadway & W 56 St,1
Broadway & W 58 St,2
Broadway & W 60 St,1
Central Park West & W 85 St,1
Centre St & Worth St,1
Cleveland Pl & Spring St,1
E 11 St & 1 Ave,1
E 12 St & 3 Ave,1
E 15 St & 3 Ave,2
E 16 St & 5 Ave,1
E 16 St & Irving Pl,1
E 17 St & Broadway,7
E 19 St & 3 Ave,1
E 20 St & 2 Ave,1
E 20 St & FDR Drive,1
E 20 St & Park Ave,3
E 23 St & 1 Ave,3
E 24 St & Park Ave S,13
E 30 St & Park Ave S,8
E 31 St & 3 Ave,2
E 32 St & Park Ave,8
E 33 St & 2 Ave,3
E 33 St & 5 Ave,8
E 35 St & 3 Ave,1
E 39 St & 2 Ave,3
E 41 St & Madison Ave,2
E 47 St & 1 Ave,1
E 48 St & 3 Ave,1
E 52 St & 2 Ave,1
E 53 St & 3 Ave,2
E 53 St & Madison Ave,3
E 55 St & 2 Ave,2
E 55 St & 3 Ave,1
E 55 St & Lexington Ave,1
E 58 St & 3 Ave,2
E 65 St & 2 Ave,1
E 72 St & York Ave,1
E 74 St & 1 Ave,1
E 81 St & 3 Ave,1
E 88 St & 1 Ave,1
FDR Drive & E 35 St,1
Graham Ave & Grand St,1
Grand St & Greene St,1
Great Jones St,1
Greenwich Ave & 8 Ave,1
Greenwich Ave & Charles St,1
Greenwich St & W Houston St,1
Howard St & Centre St,1
Lafayette St & Jersey St,1
Laight St & Hudson St,1
Lexington Ave & E 24 St,2
Lexington Ave & E 29 St,3
Liberty St & Broadway,1
Lispenard St & Broadway,1
Madison Ave & E 82 St,2
Mott St & Prince St,1
Pershing Square South,1
Pier 40 - Hudson River Park,1
Reade St & Broadway,1
University Pl & E 8 St,2
W 13 St & 5 Ave,1
W 13 St & Hudson St,1
W 15 St & 10 Ave,1
W 16 St & The High Line,3
W 18 St & 6 Ave,2
W 20 St & 11 Ave,1
W 20 St & 7 Ave,1
W 22 St & 8 Ave,1
W 24 St & 7 Ave,2
W 25 St & 6 Ave,3
W 27 St & 10 Ave,1
W 27 St & 7 Ave,7
W 31 St & 7 Ave,6
W 33 St & 7 Ave,6
W 36 St & 9 Ave,3
W 37 St & 10 Ave,2
W 37 St & 5 Ave,1
W 38 St & 8 Ave,8
W 41 St & 8 Ave,8
W 42 St & Dyer Ave,1
W 45 St & 6 Ave,2
W 46 St & 11 Ave,2
W 49 St & 8 Ave,2
W 52 St & 11 Ave,1
W 52 St & 6 Ave,2
W 52 St & 9 Ave,1
W 53 St & 10 Ave,2
W 55 St & 6 Ave,1
W 56 St & 10 Ave,1
West St & Chambers St,1
