tripduration,starttime,stoptime,start station id,start station name,end station id,end station name
2558,2017/9/27,2017/9/27,479,9 Ave & W 45 St,3164,Columbus Ave & W 72 St
469,2017/9/27,2017/9/27,468,Broadway & W 56 St,3164,Columbus Ave & W 72 St
762,2017/9/27,2017/9/27,3169,Riverside Dr & W 82 St,3164,Columbus Ave & W 72 St
1691,2017/9/27,2017/9/27,358,Christopher St & Greenwich St,3164,Columbus Ave & W 72 St
1203,2017/9/27,2017/9/27,474,5 Ave & E 29 St,3164,Columbus Ave & W 72 St
821,2017/9/27,2017/9/27,3370,E 78 St & 2 Ave,3164,Columbus Ave & W 72 St
802,2017/9/27,2017/9/27,3370,E 78 St & 2 Ave,3164,Columbus Ave & W 72 St
776,2017/9/27,2017/9/27,448,W 37 St & 10 Ave,3164,Columbus Ave & W 72 St
657,2017/9/27,2017/9/27,3301,Columbus Ave & W 95 St,3164,Columbus Ave & W 72 St
176,2017/9/27,2017/9/27,3163,Central Park West & W 68 St,3164,Columbus Ave & W 72 St
1610,2017/9/27,2017/9/27,3463,E 16 St & Irving Pl,3164,Columbus Ave & W 72 St
1166,2017/9/27,2017/9/27,478,11 Ave & W 41 St,3164,Columbus Ave & W 72 St
1928,2017/9/27,2017/9/27,128,MacDougal St & Prince St,3164,Columbus Ave & W 72 St
637,2017/9/27,2017/9/27,3132,E 59 St & Madison Ave,3164,Columbus Ave & W 72 St
1662,2017/9/27,2017/9/27,458,11 Ave & W 27 St,3164,Columbus Ave & W 72 St
2025,2017/9/27,2017/9/27,3428,8 Ave & W 16 St,3164,Columbus Ave & W 72 St
644,2017/9/27,2017/9/27,3134,3 Ave & E 62 St,3164,Columbus Ave & W 72 St
68,2017/9/27,2017/9/27,3172,W 74 St & Columbus Ave,3164,Columbus Ave & W 72 St
919,2017/9/27,2017/9/27,3163,Central Park West & W 68 St,3164,Columbus Ave & W 72 St
64,2017/9/27,2017/9/27,3172,W 74 St & Columbus Ave,3164,Columbus Ave & W 72 St
1852,2017/9/27,2017/9/27,3463,E 16 St & Irving Pl,3164,Columbus Ave & W 72 St
295,2017/9/27,2017/9/27,3137,5 Ave & E 73 St,3164,Columbus Ave & W 72 St
490,2017/9/27,2017/9/27,457,Broadway & W 58 St,3164,Columbus Ave & W 72 St
425,2017/9/27,2017/9/27,3170,W 84 St & Columbus Ave,3164,Columbus Ave & W 72 St
2025,2017/9/27,2017/9/27,3461,Murray St & Greenwich St,3164,Columbus Ave & W 72 St
472,2017/9/27,2017/9/27,3173,Riverside Blvd & W 67 St,3164,Columbus Ave & W 72 St
487,2017/9/27,2017/9/27,3173,Riverside Blvd & W 67 St,3164,Columbus Ave & W 72 St
123,2017/9/27,2017/9/27,3172,W 74 St & Columbus Ave,3164,Columbus Ave & W 72 St
1922,2017/9/27,2017/9/27,417,Barclay St & Church St,3164,Columbus Ave & W 72 St
1778,2017/9/27,2017/9/27,3545,Broadway & W 122 St,3164,Columbus Ave & W 72 St
82,2017/9/27,2017/9/27,3172,W 74 St & Columbus Ave,3164,Columbus Ave & W 72 St
725,2017/9/27,2017/9/27,72,W 52 St & 11 Ave,3164,Columbus Ave & W 72 St
896,2017/9/27,2017/9/27,359,E 47 St & Park Ave,3164,Columbus Ave & W 72 St
1054,2017/9/27,2017/9/27,3542,Amsterdam Ave & W 119 St,3164,Columbus Ave & W 72 St
588,2017/9/27,2017/9/27,499,Broadway & W 60 St,3164,Columbus Ave & W 72 St
