tripduration,start station name,end station name
831,Columbus Ave & W 72 St,1 Ave & E 62 St
639,Columbus Ave & W 72 St,1 Ave & E 68 St
614,Columbus Ave & W 72 St,1 Ave & E 68 St
729,Columbus Ave & W 72 St,1 Ave & E 68 St
708,Columbus Ave & W 72 St,1 Ave & E 68 St
914,Columbus Ave & W 72 St,1 Ave & E 68 St
1101,Columbus Ave & W 72 St,1 Ave & E 94 St
1084,Columbus Ave & W 72 St,1 Ave & E 94 St
1017,Columbus Ave & W 72 St,1 Ave & E 94 St
854,Columbus Ave & W 72 St,1 Ave & E 94 St
1445,Columbus Ave & W 72 St,11 Ave & W 27 St
419,Columbus Ave & W 72 St,11 Ave & W 59 St
800,Columbus Ave & W 72 St,11 Ave & W 59 St
591,Columbus Ave & W 72 St,11 Ave & W 59 St
858,Columbus Ave & W 72 St,12 Ave & W 40 St
1018,Columbus Ave & W 72 St,2 Ave & E 96 St
826,Columbus Ave & W 72 St,3 Ave & E 62 St
2232,Columbus Ave & W 72 St,3 Ave & E 72 St
553,Columbus Ave & W 72 St,3 Ave & E 72 St
1320,Columbus Ave & W 72 St,5 Ave & E 29 St
1186,Columbus Ave & W 72 St,5 Ave & E 29 St
710,Columbus Ave & W 72 St,5 Ave & E 63 St
1161,Columbus Ave & W 72 St,5 Ave & E 73 St
294,Columbus Ave & W 72 St,5 Ave & E 73 St
256,Columbus Ave & W 72 St,5 Ave & E 73 St
326,Columbus Ave & W 72 St,5 Ave & E 73 St
298,Columbus Ave & W 72 St,5 Ave & E 73 St
677,Columbus Ave & W 72 St,5 Ave & E 78 St
333,Columbus Ave & W 72 St,5 Ave & E 78 St
1522,Columbus Ave & W 72 St,5 Ave & E 88 St
1522,Columbus Ave & W 72 St,5 Ave & E 88 St
1400,Columbus Ave & W 72 St,8 Ave & W 16 St
806,Columbus Ave & W 72 St,8 Ave & W 33 St
834,Columbus Ave & W 72 St,8 Ave & W 33 St
1955,Columbus Ave & W 72 St,9 Ave & W 18 St
773,Columbus Ave & W 72 St,9 Ave & W 45 St
514,Columbus Ave & W 72 St,9 Ave & W 45 St
584,Columbus Ave & W 72 St,9 Ave & W 45 St
138,Columbus Ave & W 72 St,Amsterdam Ave & W 73 St
129,Columbus Ave & W 72 St,Amsterdam Ave & W 73 St
620,Columbus Ave & W 72 St,Amsterdam Ave & W 73 St
337,Columbus Ave & W 72 St,Amsterdam Ave & W 73 St
185,Columbus Ave & W 72 St,Amsterdam Ave & W 79 St
339,Columbus Ave & W 72 St,Amsterdam Ave & W 79 St
211,Columbus Ave & W 72 St,Amsterdam Ave & W 79 St
345,Columbus Ave & W 72 St,Amsterdam Ave & W 82 St
283,Columbus Ave & W 72 St,Amsterdam Ave & W 82 St
430,Columbus Ave & W 72 St,Amsterdam Ave & W 82 St
278,Columbus Ave & W 72 St,Amsterdam Ave & W 82 St
1894,Columbus Ave & W 72 St,Bank St & Hudson St
2186,Columbus Ave & W 72 St,Broadway & Battery Pl
7710,Columbus Ave & W 72 St,Broadway & Berry St
1655,Columbus Ave & W 72 St,Broadway & E 14 St
1088,Columbus Ave & W 72 St,Broadway & W 24 St
1780,Columbus Ave & W 72 St,Broadway & W 24 St
1777,Columbus Ave & W 72 St,Broadway & W 24 St
1128,Columbus Ave & W 72 St,Broadway & W 36 St
1052,Columbus Ave & W 72 St,Broadway & W 36 St
718,Columbus Ave & W 72 St,Broadway & W 37 St
672,Columbus Ave & W 72 St,Broadway & W 41 St
643,Columbus Ave & W 72 St,Broadway & W 49 St
460,Columbus Ave & W 72 St,Broadway & W 49 St
565,Columbus Ave & W 72 St,Broadway & W 49 St
656,Columbus Ave & W 72 St,Broadway & W 49 St
395,Columbus Ave & W 72 St,Broadway & W 51 St
689,Columbus Ave & W 72 St,Broadway & W 51 St
628,Columbus Ave & W 72 St,Broadway & W 51 St
519,Columbus Ave & W 72 St,Broadway & W 53 St
388,Columbus Ave & W 72 St,Broadway & W 53 St
669,Columbus Ave & W 72 St,Broadway & W 53 St
1715,Columbus Ave & W 72 St,Broadway & W 56 St
336,Columbus Ave & W 72 St,Broadway & W 56 St
539,Columbus Ave & W 72 St,Broadway & W 56 St
352,Columbus Ave & W 72 St,Broadway & W 58 St
447,Columbus Ave & W 72 St,Broadway & W 58 St
316,Columbus Ave & W 72 St,Broadway & W 58 St
368,Columbus Ave & W 72 St,Broadway & W 58 St
539,Columbus Ave & W 72 St,Broadway & W 58 St
364,Columbus Ave & W 72 St,Broadway & W 58 St
339,Columbus Ave & W 72 St,Broadway & W 58 St
359,Columbus Ave & W 72 St,Broadway & W 58 St
265,Columbus Ave & W 72 St,Broadway & W 60 St
319,Columbus Ave & W 72 St,Broadway & W 60 St
2292,Columbus Ave & W 72 St,Central Park S & 6 Ave
412,Columbus Ave & W 72 St,Central Park S & 6 Ave
517,Columbus Ave & W 72 St,Central Park West & W 102 St
181,Columbus Ave & W 72 St,Central Park West & W 68 St
321,Columbus Ave & W 72 St,Central Park West & W 68 St
125,Columbus Ave & W 72 St,Central Park West & W 72 St
133,Columbus Ave & W 72 St,Central Park West & W 72 St
161,Columbus Ave & W 72 St,Central Park West & W 72 St
133,Columbus Ave & W 72 St,Central Park West & W 72 St
151,Columbus Ave & W 72 St,Central Park West & W 72 St
135,Columbus Ave & W 72 St,Central Park West & W 72 St
167,Columbus Ave & W 72 St,Central Park West & W 72 St
225,Columbus Ave & W 72 St,Central Park West & W 72 St
139,Columbus Ave & W 72 St,Central Park West & W 72 St
129,Columbus Ave & W 72 St,Central Park West & W 72 St
133,Columbus Ave & W 72 St,Central Park West & W 72 St
134,Columbus Ave & W 72 St,Central Park West & W 72 St
153,Columbus Ave & W 72 St,Central Park West & W 72 St
138,Columbus Ave & W 72 St,Central Park West & W 72 St
185,Columbus Ave & W 72 St,Central Park West & W 72 St
156,Columbus Ave & W 72 St,Central Park West & W 72 St
188,Columbus Ave & W 72 St,Central Park West & W 72 St
134,Columbus Ave & W 72 St,Central Park West & W 72 St
152,Columbus Ave & W 72 St,Central Park West & W 72 St
208,Columbus Ave & W 72 St,Central Park West & W 72 St
1305,Columbus Ave & W 72 St,Christopher St & Greenwich St
1163,Columbus Ave & W 72 St,Columbus Ave & W 72 St
628,Columbus Ave & W 72 St,Columbus Ave & W 72 St
73,Columbus Ave & W 72 St,Columbus Ave & W 72 St
467,Columbus Ave & W 72 St,Columbus Ave & W 72 St
921,Columbus Ave & W 72 St,Columbus Ave & W 72 St
2397,Columbus Ave & W 72 St,Cooper Square & E 7 St
2200,Columbus Ave & W 72 St,E 15 St & 3 Ave
1786,Columbus Ave & W 72 St,E 16 St & Irving Pl
963,Columbus Ave & W 72 St,E 30 St & Park Ave S
2073,Columbus Ave & W 72 St,E 30 St & Park Ave S
