,tripduration,starttime,stoptime,startid,startname,endid,endname
4032,835,9/26/2017 23:48,9/27/2017 0:02,482,W 15 St & 7 Ave,319,Fulton St & Broadway
4033,200,9/27/2017 5:27,9/27/2017 5:31,309,Murray St & West St,319,Fulton St & Broadway
4034,1472,9/27/2017 5:51,9/27/2017 6:15,3255,8 Ave & W 31 St,319,Fulton St & Broadway
4035,761,9/27/2017 6:20,9/27/2017 6:33,380,W 4 St & 7 Ave S,319,Fulton St & Broadway
4036,404,9/27/2017 6:23,9/27/2017 6:30,3436,Greenwich St & Hubert St,319,Fulton St & Broadway
4037,444,9/27/2017 6:27,9/27/2017 6:35,3435,Grand St & Elizabeth St,319,Fulton St & Broadway
4038,906,9/27/2017 6:35,9/27/2017 6:50,502,Henry St & Grand St,319,Fulton St & Broadway
4039,627,9/27/2017 6:38,9/27/2017 6:48,331,Pike St & Monroe St,319,Fulton St & Broadway
4040,1625,9/27/2017 6:39,9/27/2017 7:06,3307,West End Ave & W 94 St,319,Fulton St & Broadway
4041,240,9/27/2017 6:44,9/27/2017 6:48,351,Front St & Maiden Ln,319,Fulton St & Broadway
4042,1454,9/27/2017 6:44,9/27/2017 7:08,519,Pershing Square North,319,Fulton St & Broadway
4043,709,9/27/2017 6:49,9/27/2017 7:00,327,Vesey Pl & River Terrace,319,Fulton St & Broadway
4044,1847,9/27/2017 6:51,9/27/2017 7:21,3362,Madison Ave & E 82 St,319,Fulton St & Broadway
4045,830,9/27/2017 6:52,9/27/2017 7:06,3408,Congress St & Clinton St,319,Fulton St & Broadway
4046,1547,9/27/2017 7:12,9/27/2017 7:38,385,E 55 St & 2 Ave,319,Fulton St & Broadway
4047,186,9/27/2017 7:22,9/27/2017 7:26,306,Cliff St & Fulton St,319,Fulton St & Broadway
4048,407,9/27/2017 7:32,9/27/2017 7:39,2009,Catherine St & Monroe St,319,Fulton St & Broadway
4049,719,9/27/2017 7:37,9/27/2017 7:49,236,St Marks Pl & 2 Ave,319,Fulton St & Broadway
4050,182,9/27/2017 7:50,9/27/2017 7:53,306,Cliff St & Fulton St,319,Fulton St & Broadway
4051,656,9/27/2017 7:53,9/27/2017 8:04,403,E 2 St & 2 Ave,319,Fulton St & Broadway
4052,325,9/27/2017 7:55,9/27/2017 8:00,351,Front St & Maiden Ln,319,Fulton St & Broadway
4053,1123,9/27/2017 7:55,9/27/2017 8:14,239,Willoughby St & Fleet St,319,Fulton St & Broadway
