,tripduration,starttime,stoptime,startid,startname,endid,endname
9637,530,9/27/2017 0:10,9/27/2017 0:19,3255,8 Ave & W 31 St,3236,W 42 St & Dyer Ave
9638,1318,9/27/2017 1:48,9/27/2017 2:10,3255,8 Ave & W 31 St,523,W 38 St & 8 Ave
9639,1272,9/27/2017 1:49,9/27/2017 2:10,3255,8 Ave & W 31 St,523,W 38 St & 8 Ave
9640,1389,9/27/2017 2:07,9/27/2017 2:30,3255,8 Ave & W 31 St,327,Vesey Pl & River Terrace
9641,374,9/27/2017 2:24,9/27/2017 2:30,3255,8 Ave & W 31 St,526,E 33 St & 5 Ave
9642,342,9/27/2017 4:35,9/27/2017 4:41,3255,8 Ave & W 31 St,525,W 34 St & 11 Ave
9643,325,9/27/2017 4:49,9/27/2017 4:55,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9644,1472,9/27/2017 5:51,9/27/2017 6:15,3255,8 Ave & W 31 St,319,Fulton St & Broadway
9645,717,9/27/2017 5:57,9/27/2017 6:09,3255,8 Ave & W 31 St,3132,E 59 St & Madison Ave
9646,1138,9/27/2017 5:58,9/27/2017 6:17,3255,8 Ave & W 31 St,377,6 Ave & Canal St
9647,749,9/27/2017 6:00,9/27/2017 6:13,3255,8 Ave & W 31 St,3436,Greenwich St & Hubert St
9648,1144,9/27/2017 6:00,9/27/2017 6:19,3255,8 Ave & W 31 St,264,Maiden Ln & Pearl St
9649,998,9/27/2017 6:01,9/27/2017 6:17,3255,8 Ave & W 31 St,3632,E 12 St & Avenue B
9650,178,9/27/2017 6:02,9/27/2017 6:04,3255,8 Ave & W 31 St,3259,9 Ave & W 28 St
9651,507,9/27/2017 6:02,9/27/2017 6:10,3255,8 Ave & W 31 St,507,E 25 St & 2 Ave
9652,465,9/27/2017 6:02,9/27/2017 6:10,3255,8 Ave & W 31 St,536,1 Ave & E 30 St
9653,130,9/27/2017 6:05,9/27/2017 6:07,3255,8 Ave & W 31 St,523,W 38 St & 8 Ave
